[Test 1] 1.0 KB; 20.7812 ms
[Test 1] 5978.0 KB; 4690.3125 ms
[Test 1] 5979.0 KB; 4691.0937 ms
[Test 1] 5980.0 KB; 4691.8750 ms
[Test 1] 5981.0 KB; 4692.6562 ms
[Test 1] 5982.0 KB; 4693.4375 ms
[Test 1] 5983.0 KB; 4694.2187 ms
[Test 1] 5984.0 KB; 4695.0000 ms
[Test 1] 5985.0 KB; 4695.7812 ms
[Test 1] 5986.0 KB; 4696.5625 ms
[Test 1] 5987.0 KB; 4697.3438 ms
[Test 1] 5988.0 KB; 4698.1250 ms
[Test 1] 5989.0 KB; 4698.9062 ms
[Test 1] 5990.0 KB; 4699.6875 ms
[Test 1] 5991.0 KB; 4700.4688 ms
[Test 1] 5992.0 KB; 4701.2500 ms
[Test 1] 5993.0 KB; 4702.0312 ms
[Test 1] 5994.0 KB; 4702.8125 ms
[Test 1] 5995.0 KB; 4703.5938 ms
[Test 1] 5996.0 KB; 4704.3750 ms
[Test 1] 5997.0 KB; 4705.1562 ms
[Test 1] 5998.0 KB; 4705.9375 ms
[Test 1] 5999.0 KB; 4706.7187 ms
[Test 1] 6000.0 KB; 4707.5000 ms
[Test 1] 6001.0 KB; 4708.2812 ms
[Test 1] 6002.0 KB; 4709.0625 ms
[Test 1] 6003.0 KB; 4709.8437 ms
[Test 1] 6004.0 KB; 4710.6250 ms
[Test 1] 6005.0 KB; 4711.4062 ms
[Test 1] 6006.0 KB; 4712.1875 ms
[Test 1] 6007.0 KB; 4712.9688 ms
[Test 1] 6008.0 KB; 4713.7500 ms
[Test 1] 6009.0 KB; 4714.5312 ms
[Test 1] 6010.0 KB; 4715.3125 ms
[Test 1] 6011.0 KB; 4716.0938 ms
[Test 1] 6012.0 KB; 4716.8750 ms
[Test 1] 6013.0 KB; 4717.6562 ms
[Test 1] 6014.0 KB; 4718.4375 ms
[Test 1] 6015.0 KB; 4719.2188 ms
[Test 1] 6016.0 KB; 4720.0000 ms
[Test 1] 6017.0 KB; 4720.7812 ms
[Test 1] 6018.0 KB; 4721.5625 ms
[Test 1] 6019.0 KB; 4722.3437 ms
[Test 1] 6020.0 KB; 4723.1250 ms
[Test 1] 6021.0 KB; 4723.9062 ms
[Test 1] 6022.0 KB; 4724.6875 ms
[Test 1] 6023.0 KB; 4725.4687 ms
[Test 1] 6024.0 KB; 4726.2500 ms
[Test 1] 6025.0 KB; 4727.0312 ms
[Test 1] 6026.0 KB; 4727.8125 ms
[Test 1] 6027.0 KB; 4728.5938 ms
[Test 1] 6028.0 KB; 4729.3750 ms
[Test 1] 6029.0 KB; 4730.1562 ms
[Test 1] 6030.0 KB; 4730.9375 ms
[Test 1] 6031.0 KB; 4731.7188 ms
[Test 1] 6032.0 KB; 4732.5000 ms
[Test 1] 6033.0 KB; 4733.2812 ms
[Test 1] 6034.0 KB; 4734.0625 ms
[Test 1] 6035.0 KB; 4734.8438 ms
[Test 1] 6036.0 KB; 4735.6250 ms
[Test 1] 6037.0 KB; 4736.4062 ms
[Test 1] 6038.0 KB; 4737.1875 ms
[Test 1] 6039.0 KB; 4737.9687 ms
[Test 1] 6040.0 KB; 4738.7500 ms
[Test 1] 6041.0 KB; 4739.5312 ms
[Test 1] 6042.0 KB; 4740.3125 ms
[Test 1] 6043.0 KB; 4741.0937 ms
[Test 1] 6044.0 KB; 4741.8750 ms
[Test 1] 6045.0 KB; 4742.6562 ms
[Test 1] 6046.0 KB; 4743.4375 ms
[Test 1] 6047.0 KB; 4744.2188 ms
[Test 1] 6048.0 KB; 4745.0000 ms
[Test 1] 6049.0 KB; 4745.7812 ms
[Test 1] 6050.0 KB; 4746.5625 ms
[Test 1] 6051.0 KB; 4747.3438 ms
[Test 1] 6052.0 KB; 4748.1250 ms
[Test 1] 6053.0 KB; 4748.9062 ms
[Test 1] 6054.0 KB; 4749.6875 ms
[Test 1] 6055.0 KB; 4750.4688 ms
[Test 1] 6056.0 KB; 4751.2500 ms
[Test 1] 6057.0 KB; 4752.0312 ms
[Test 1] 6058.0 KB; 4752.8125 ms
[Test 1] 6059.0 KB; 4753.5937 ms
[Test 1] 6060.0 KB; 4754.3750 ms
[Test 1] 6061.0 KB; 4755.1562 ms
[Test 1] 6062.0 KB; 4755.9375 ms
[Test 1] 6063.0 KB; 4756.7187 ms
[Test 1] 6064.0 KB; 4757.5000 ms
[Test 1] 6065.0 KB; 4758.2812 ms
[Test 1] 6066.0 KB; 4759.0625 ms
[Test 1] 6067.0 KB; 4759.8438 ms
[Test 1] 6068.0 KB; 4760.6250 ms
[Test 1] 6069.0 KB; 4761.4062 ms
[Test 1] 6070.0 KB; 4762.1875 ms
[Test 1] 6071.0 KB; 4762.9688 ms
[Test 1] 6072.0 KB; 4763.7500 ms
[Test 1] 6073.0 KB; 4764.5312 ms
[Test 1] 6074.0 KB; 4765.3125 ms
[Test 1] 6075.0 KB; 4766.0938 ms
[Test 1] 6076.0 KB; 4766.8750 ms
[Test 1] 6077.0 KB; 4767.6562 ms
[Test 1] 6078.0 KB; 4768.4375 ms
[Test 1] 6079.0 KB; 4769.2187 ms
[Test 1] 6080.0 KB; 4770.0000 ms
[Test 1] 6081.0 KB; 4770.7812 ms
[Test 1] 6082.0 KB; 4771.5625 ms
[Test 1] 6083.0 KB; 4772.3437 ms
[Test 1] 6084.0 KB; 4773.1250 ms
[Test 1] 6085.0 KB; 4773.9062 ms
[Test 1] 6086.0 KB; 4774.6875 ms
[Test 1] 6087.0 KB; 4775.4688 ms
[Test 1] 6088.0 KB; 4776.2500 ms
[Test 1] 6089.0 KB; 4777.0312 ms
[Test 1] 6090.0 KB; 4777.8125 ms
[Test 1] 6091.0 KB; 4778.5938 ms
[Test 1] 6092.0 KB; 4779.3750 ms
[Test 1] 6093.0 KB; 4780.1562 ms
[Test 1] 6094.0 KB; 4780.9375 ms
[Test 1] 6095.0 KB; 4781.7188 ms
[Test 1] 6096.0 KB; 4782.5000 ms
[Test 1] 6097.0 KB; 4783.2812 ms
[Test 1] 6098.0 KB; 4784.0625 ms
[Test 1] 6099.0 KB; 4784.8437 ms
[Test 1] 6100.0 KB; 4785.6250 ms
[Test 1] 6101.0 KB; 4786.4062 ms
[Test 1] 6102.0 KB; 4787.1875 ms
[Test 1] 6103.0 KB; 4787.9687 ms
[Test 1] 6104.0 KB; 4788.7500 ms
[Test 1] 6105.0 KB; 4789.5312 ms
[Test 1] 6106.0 KB; 4790.3125 ms
[Test 1] 6107.0 KB; 4791.0938 ms
[Test 1] 6108.0 KB; 4791.8750 ms
[Test 1] 6109.0 KB; 4792.6562 ms
[Test 1] 6110.0 KB; 4793.4375 ms
[Test 1] 6111.0 KB; 4794.2188 ms
[Test 1] 6112.0 KB; 4795.0000 ms
[Test 1] 6113.0 KB; 4795.7812 ms
[Test 1] 6114.0 KB; 4796.5625 ms
[Test 1] 6115.0 KB; 4797.3438 ms
[Test 1] 6116.0 KB; 4798.1250 ms
[Test 1] 6117.0 KB; 4798.9062 ms
[Test 1] 6118.0 KB; 4799.6875 ms
[Test 1] 6119.0 KB; 4800.4687 ms
[Test 1] 6120.0 KB; 4801.2500 ms
[Test 1] 6121.0 KB; 4802.0312 ms
[Test 1] 6122.0 KB; 4802.8125 ms
[Test 1] 6123.0 KB; 4803.5937 ms
[Test 1] 6124.0 KB; 4804.3750 ms
[Test 1] 6125.0 KB; 4805.1562 ms
[Test 1] 6126.0 KB; 4805.9375 ms
[Test 1] 6127.0 KB; 4806.7188 ms
[Test 1] 6128.0 KB; 4807.5000 ms
[Test 1] 6129.0 KB; 4808.2812 ms
[Test 1] 6130.0 KB; 4809.0625 ms
[Test 1] 6131.0 KB; 4809.8438 ms
[Test 1] 6132.0 KB; 4810.6250 ms
[Test 1] 6133.0 KB; 4811.4062 ms
[Test 1] 6134.0 KB; 4812.1875 ms
[Test 1] 6135.0 KB; 4812.9688 ms
[Test 1] 6136.0 KB; 4813.7500 ms
[Test 1] 6137.0 KB; 4814.5312 ms
[Test 1] 6138.0 KB; 4815.3125 ms
[Test 1] 6139.0 KB; 4816.0937 ms
[Test 1] 6140.0 KB; 4816.8750 ms
[Test 1] 6141.0 KB; 4817.6562 ms
[Test 1] 6142.0 KB; 4818.4375 ms
[Test 1] 6143.0 KB; 4819.2187 ms
[Test 1] 6144.0 KB; 4820.0000 ms
[Test 1] 6145.0 KB; 4820.7812 ms
[Test 1] 6146.0 KB; 4821.5625 ms
[Test 1] 6147.0 KB; 4822.3438 ms
[Test 1] 6148.0 KB; 4823.1250 ms
[Test 1] 6149.0 KB; 4823.9062 ms
[Test 1] 6150.0 KB; 4824.6875 ms
[Test 1] 6151.0 KB; 4825.4688 ms
[Test 1] 6152.0 KB; 4826.2500 ms
[Test 1] 6153.0 KB; 4827.0312 ms
[Test 1] 6154.0 KB; 4827.8125 ms
[Test 1] 6155.0 KB; 4828.5938 ms
[Test 1] 6156.0 KB; 4829.3750 ms
[Test 1] 6157.0 KB; 4830.1562 ms
[Test 1] 6158.0 KB; 4830.9375 ms
[Test 1] 6159.0 KB; 4831.7187 ms
[Test 1] 6160.0 KB; 4832.5000 ms
[Test 1] 6161.0 KB; 4833.2812 ms
[Test 1] 6162.0 KB; 4834.0625 ms
[Test 1] 6163.0 KB; 4834.8437 ms
[Test 1] 6164.0 KB; 4835.6250 ms
[Test 1] 6165.0 KB; 4836.4062 ms
[Test 1] 6166.0 KB; 4837.1875 ms
[Test 1] 6167.0 KB; 4837.9688 ms
[Test 1] 6168.0 KB; 4838.7500 ms
[Test 1] 6169.0 KB; 4839.5312 ms
[Test 1] 6170.0 KB; 4840.3125 ms
[Test 1] 6171.0 KB; 4841.0938 ms
[Test 1] 6172.0 KB; 4841.8750 ms
[Test 1] 6173.0 KB; 4842.6562 ms
[Test 1] 6174.0 KB; 4843.4375 ms
[Test 1] 6175.0 KB; 4844.2188 ms
[Test 1] 6176.0 KB; 4845.0000 ms
[Test 1] 6177.0 KB; 4845.7812 ms
[Test 1] 6178.0 KB; 4846.5625 ms
[Test 1] 6179.0 KB; 4847.3437 ms
[Test 1] 6180.0 KB; 4848.1250 ms
[Test 1] 6181.0 KB; 4848.9062 ms
[Test 1] 6182.0 KB; 4849.6875 ms
[Test 1] 6183.0 KB; 4850.4687 ms
[Test 1] 6184.0 KB; 4851.2500 ms
[Test 1] 6185.0 KB; 4852.0312 ms
[Test 1] 6186.0 KB; 4852.8125 ms
[Test 1] 6187.0 KB; 4853.5938 ms
[Test 1] 6188.0 KB; 4854.3750 ms
[Test 1] 6189.0 KB; 4855.1562 ms
[Test 1] 6190.0 KB; 4855.9375 ms
[Test 1] 6191.0 KB; 4856.7188 ms
[Test 1] 6192.0 KB; 4857.5000 ms
[Test 1] 6193.0 KB; 4858.2812 ms
[Test 1] 6194.0 KB; 4859.0625 ms
[Test 1] 6195.0 KB; 4859.8438 ms
[Test 1] 6196.0 KB; 4860.6250 ms
[Test 1] 6197.0 KB; 4861.4062 ms
[Test 1] 6198.0 KB; 4862.1875 ms
[Test 1] 6199.0 KB; 4862.9687 ms
[Test 1] 6200.0 KB; 4863.7500 ms
[Test 1] 6201.0 KB; 4864.5312 ms
[Test 1] 6202.0 KB; 4865.3125 ms
[Test 1] 6203.0 KB; 4866.0937 ms
[Test 1] 6204.0 KB; 4866.8750 ms
[Test 1] 6205.0 KB; 4867.6562 ms
[Test 1] 6206.0 KB; 4868.4375 ms
[Test 1] 6207.0 KB; 4869.2188 ms
[Test 1] 6208.0 KB; 4870.0000 ms
[Test 1] 6209.0 KB; 4870.7812 ms
[Test 1] 6210.0 KB; 4871.5625 ms
[Test 1] 6211.0 KB; 4872.3438 ms
[Test 1] 6212.0 KB; 4873.1250 ms
[Test 1] 6213.0 KB; 4873.9062 ms
[Test 1] 6214.0 KB; 4874.6875 ms
[Test 1] 6215.0 KB; 4875.4688 ms
[Test 1] 6216.0 KB; 4876.2500 ms
[Test 1] 6217.0 KB; 4877.0312 ms
[Test 1] 6218.0 KB; 4877.8125 ms
[Test 1] 6219.0 KB; 4878.5937 ms
[Test 1] 6220.0 KB; 4879.3750 ms
[Test 1] 6221.0 KB; 4880.1562 ms
[Test 1] 6222.0 KB; 4880.9375 ms
[Test 1] 6223.0 KB; 4881.7187 ms
[Test 1] 6224.0 KB; 4882.5000 ms
[Test 1] 6225.0 KB; 4883.2812 ms
[Test 1] 6226.0 KB; 4884.0625 ms
[Test 1] 6227.0 KB; 4884.8438 ms
[Test 1] 6228.0 KB; 4885.6250 ms
[Test 1] 6229.0 KB; 4886.4062 ms
[Test 1] 6230.0 KB; 4887.1875 ms
[Test 1] 6231.0 KB; 4887.9688 ms
[Test 1] 6232.0 KB; 4888.7500 ms
[Test 1] 6233.0 KB; 4889.5312 ms
[Test 1] 6234.0 KB; 4890.3125 ms
[Test 1] 6235.0 KB; 4891.0938 ms
[Test 1] 6236.0 KB; 4891.8750 ms
[Test 1] 6237.0 KB; 4892.6562 ms
[Test 1] 6238.0 KB; 4893.4375 ms
[Test 1] 6239.0 KB; 4894.2187 ms
[Test 1] 6240.0 KB; 4895.0000 ms
[Test 1] 6241.0 KB; 4895.7812 ms
[Test 1] 6242.0 KB; 4896.5625 ms
[Test 1] 6243.0 KB; 4897.3437 ms
[Test 1] 6244.0 KB; 4898.1250 ms
[Test 1] 6245.0 KB; 4898.9062 ms
[Test 1] 6246.0 KB; 4899.6875 ms
[Test 1] 6247.0 KB; 4900.4688 ms
[Test 1] 6248.0 KB; 4901.2500 ms
[Test 1] 6249.0 KB; 4902.0312 ms
[Test 1] 6250.0 KB; 4902.8125 ms
[Test 1] 6251.0 KB; 4903.5938 ms
[Test 1] 6252.0 KB; 4904.3750 ms
[Test 1] 6253.0 KB; 4905.1562 ms
[Test 1] 6254.0 KB; 4905.9375 ms
[Test 1] 6255.0 KB; 4906.7188 ms
[Test 1] 6256.0 KB; 4907.5000 ms
[Test 1] 6257.0 KB; 4908.2812 ms
[Test 1] 6258.0 KB; 4909.0625 ms
[Test 1] 6259.0 KB; 4909.8437 ms
[Test 1] 6260.0 KB; 4910.6250 ms
[Test 1] 6261.0 KB; 4911.4062 ms
[Test 1] 6262.0 KB; 4912.1875 ms
[Test 1] 6263.0 KB; 4912.9687 ms
[Test 1] 6264.0 KB; 4913.7500 ms
[Test 1] 6265.0 KB; 4914.5312 ms
[Test 1] 6266.0 KB; 4915.3125 ms
[Test 1] 6267.0 KB; 4916.0938 ms
[Test 1] 6268.0 KB; 4916.8750 ms
[Test 1] 6269.0 KB; 4917.6562 ms
[Test 1] 6270.0 KB; 4918.4375 ms
[Test 1] 6271.0 KB; 4919.2188 ms
[Test 1] 6272.0 KB; 4920.0000 ms
[Test 1] 6273.0 KB; 4920.7812 ms
[Test 1] 6274.0 KB; 4921.5625 ms
[Test 1] 6275.0 KB; 4922.3438 ms
[Test 1] 6276.0 KB; 4923.1250 ms
[Test 1] 6277.0 KB; 4923.9062 ms
[Test 1] 6278.0 KB; 4924.6875 ms
[Test 1] 6279.0 KB; 4925.4687 ms
[Test 1] 6280.0 KB; 4926.2500 ms
[Test 1] 6281.0 KB; 4927.0312 ms
[Test 1] 6282.0 KB; 4927.8125 ms
[Test 1] 6283.0 KB; 4928.5937 ms
[Test 1] 6284.0 KB; 4929.3750 ms
[Test 1] 6285.0 KB; 4930.1562 ms
[Test 1] 6286.0 KB; 4930.9375 ms
[Test 1] 6287.0 KB; 4931.7188 ms
[Test 1] 6288.0 KB; 4932.5000 ms
[Test 1] 6289.0 KB; 4933.2812 ms
[Test 1] 6290.0 KB; 4934.0625 ms
[Test 1] 6291.0 KB; 4934.8438 ms
[Test 1] 6292.0 KB; 4935.6250 ms
[Test 1] 6293.0 KB; 4936.4062 ms
[Test 1] 6294.0 KB; 4937.1875 ms
[Test 1] 6295.0 KB; 4937.9688 ms
[Test 1] 6296.0 KB; 4938.7500 ms
[Test 1] 6297.0 KB; 4939.5312 ms
[Test 1] 6298.0 KB; 4940.3125 ms
[Test 1] 6299.0 KB; 4941.0937 ms
[Test 1] 6300.0 KB; 4941.8750 ms
[Test 1] 6301.0 KB; 4942.6562 ms
[Test 1] 6302.0 KB; 4943.4375 ms
[Test 1] 6303.0 KB; 4944.2187 ms
[Test 1] 6304.0 KB; 4945.0000 ms
[Test 1] 6305.0 KB; 4945.7812 ms
[Test 1] 6306.0 KB; 4946.5625 ms
[Test 1] 6307.0 KB; 4947.3438 ms
[Test 1] 6308.0 KB; 4948.1250 ms
[Test 1] 6309.0 KB; 4948.9062 ms
[Test 1] 6310.0 KB; 4949.6875 ms
[Test 1] 6311.0 KB; 4950.4688 ms
[Test 1] 6312.0 KB; 4951.2500 ms
[Test 1] 6313.0 KB; 4952.0312 ms
[Test 1] 6314.0 KB; 4952.8125 ms
[Test 1] 6315.0 KB; 4953.5938 ms
[Test 1] 6316.0 KB; 4954.3750 ms
[Test 1] 6317.0 KB; 4955.1562 ms
[Test 1] 6318.0 KB; 4955.9375 ms
[Test 1] 6319.0 KB; 4956.7187 ms
[Test 1] 6320.0 KB; 4957.5000 ms
[Test 1] 6321.0 KB; 4958.2812 ms
[Test 1] 6322.0 KB; 4959.0625 ms
[Test 1] 6323.0 KB; 4959.8437 ms
[Test 1] 6324.0 KB; 4960.6250 ms
[Test 1] 6325.0 KB; 4961.4062 ms
[Test 1] 6326.0 KB; 4962.1875 ms
[Test 1] 6327.0 KB; 4962.9688 ms
[Test 1] 6328.0 KB; 4963.7500 ms
[Test 1] 6329.0 KB; 4964.5312 ms
[Test 1] 6330.0 KB; 4965.3125 ms
[Test 1] 6331.0 KB; 4966.0938 ms
[Test 1] 6332.0 KB; 4966.8750 ms
[Test 1] 6333.0 KB; 4967.6562 ms
[Test 1] 6334.0 KB; 4968.4375 ms
[Test 1] 6335.0 KB; 4969.2188 ms
[Test 1] 6336.0 KB; 4970.0000 ms
[Test 1] 6337.0 KB; 4970.7812 ms
[Test 1] 6338.0 KB; 4971.5625 ms
[Test 1] 6339.0 KB; 4972.3437 ms
[Test 1] 6340.0 KB; 4973.1250 ms
[Test 1] 6341.0 KB; 4973.9062 ms
[Test 1] 6342.0 KB; 4974.6875 ms
[Test 1] 6343.0 KB; 4975.4687 ms
[Test 1] 6344.0 KB; 4976.2500 ms
[Test 1] 6345.0 KB; 4977.0312 ms
[Test 1] 6346.0 KB; 4977.8125 ms
[Test 1] 6347.0 KB; 4978.5938 ms
[Test 1] 6348.0 KB; 4979.3750 ms
[Test 1] 6349.0 KB; 4980.1562 ms
[Test 1] 6350.0 KB; 4980.9375 ms
[Test 1] 6351.0 KB; 4981.7188 ms
[Test 1] 6352.0 KB; 4982.5000 ms
[Test 1] 6353.0 KB; 4983.2812 ms
[Test 1] 6354.0 KB; 4984.0625 ms
[Test 1] 6355.0 KB; 4984.8438 ms
[Test 1] 6356.0 KB; 4985.6250 ms
[Test 1] 6357.0 KB; 4986.4062 ms
[Test 1] 6358.0 KB; 4987.1875 ms
[Test 1] 6359.0 KB; 4987.9687 ms
[Test 1] 6360.0 KB; 4988.7500 ms
[Test 1] 6361.0 KB; 4989.5312 ms
[Test 1] 6362.0 KB; 4990.3125 ms
[Test 1] 6363.0 KB; 4991.0937 ms
[Test 1] 6364.0 KB; 4991.8750 ms
[Test 1] 6365.0 KB; 4992.6562 ms
[Test 1] 6366.0 KB; 4993.4375 ms
[Test 1] 6367.0 KB; 4994.2188 ms
[Test 1] 6368.0 KB; 4995.0000 ms
[Test 1] 6369.0 KB; 4995.7812 ms
[Test 1] 6370.0 KB; 4996.5625 ms
[Test 1] 6371.0 KB; 4997.3438 ms
[Test 1] 6372.0 KB; 4998.1250 ms
[Test 1] 6373.0 KB; 4998.9062 ms
[Test 1] 6374.0 KB; 4999.6875 ms
[Test 1] 6375.0 KB; 5000.4688 ms
[Test 1] 6376.0 KB; 5001.2500 ms
[Test 1] 6377.0 KB; 5002.0312 ms
[Test 1] 6378.0 KB; 5002.8125 ms
[Test 1] 6379.0 KB; 5003.5937 ms
[Test 1] 6380.0 KB; 5004.3750 ms
[Test 1] 6381.0 KB; 5005.1562 ms
[Test 1] 6382.0 KB; 5005.9375 ms
[Test 1] 6383.0 KB; 5006.7187 ms
[Test 1] 6384.0 KB; 5007.5000 ms
[Test 1] 6385.0 KB; 5008.2812 ms
[Test 1] 6386.0 KB; 5009.0625 ms
[Test 1] 6387.0 KB; 5009.8438 ms
[Test 1] 6388.0 KB; 5010.6250 ms
[Test 1] 6389.0 KB; 5011.4062 ms
[Test 1] 6390.0 KB; 5012.1875 ms
[Test 1] 6391.0 KB; 5012.9688 ms
[Test 1] 6392.0 KB; 5013.7500 ms
[Test 1] 6393.0 KB; 5014.5312 ms
[Test 1] 6394.0 KB; 5015.3125 ms
[Test 1] 6395.0 KB; 5016.0938 ms
[Test 1] 6396.0 KB; 5016.8750 ms
[Test 1] 6397.0 KB; 5017.6562 ms
[Test 1] 6398.0 KB; 5018.4375 ms
[Test 1] 6399.0 KB; 5019.2187 ms
[Test 1] 6400.0 KB; 5020.0000 ms
[Test 1] 6401.0 KB; 5020.7812 ms
[Test 1] 6402.0 KB; 5021.5625 ms
[Test 1] 6403.0 KB; 5022.3437 ms
[Test 1] 6404.0 KB; 5023.1250 ms
[Test 1] 6405.0 KB; 5023.9062 ms
[Test 1] 6406.0 KB; 5024.6875 ms
[Test 1] 6407.0 KB; 5025.4688 ms
[Test 1] 6408.0 KB; 5026.2500 ms
[Test 1] 6409.0 KB; 5027.0312 ms
[Test 1] 6410.0 KB; 5027.8125 ms
[Test 1] 6411.0 KB; 5028.5938 ms
[Test 1] 6412.0 KB; 5029.3750 ms
[Test 1] 6413.0 KB; 5030.1562 ms
[Test 1] 6414.0 KB; 5030.9375 ms
[Test 1] 6415.0 KB; 5031.7188 ms
[Test 1] 6416.0 KB; 5032.5000 ms
[Test 1] 6417.0 KB; 5033.2812 ms
[Test 1] 6418.0 KB; 5034.0625 ms
[Test 1] 6419.0 KB; 5034.8437 ms
[Test 1] 6420.0 KB; 5035.6250 ms
[Test 1] 6421.0 KB; 5036.4062 ms
[Test 1] 6422.0 KB; 5037.1875 ms
[Test 1] 6423.0 KB; 5037.9687 ms
[Test 1] 6424.0 KB; 5038.7500 ms
[Test 1] 6425.0 KB; 5039.5312 ms
[Test 1] 6426.0 KB; 5040.3125 ms
[Test 1] 6427.0 KB; 5041.0938 ms
[Test 1] 6428.0 KB; 5041.8750 ms
[Test 1] 6429.0 KB; 5042.6562 ms
[Test 1] 6430.0 KB; 5043.4375 ms
[Test 1] 6431.0 KB; 5044.2188 ms
[Test 1] 6432.0 KB; 5045.0000 ms
[Test 1] 6433.0 KB; 5045.7812 ms
[Test 1] 6434.0 KB; 5046.5625 ms
[Test 1] 6435.0 KB; 5047.3438 ms
[Test 1] 6436.0 KB; 5048.1250 ms
[Test 1] 6437.0 KB; 5048.9062 ms
[Test 1] 6438.0 KB; 5049.6875 ms
[Test 1] 6439.0 KB; 5050.4687 ms
[Test 1] 6440.0 KB; 5051.2500 ms
[Test 1] 6441.0 KB; 5052.0312 ms
[Test 1] 6442.0 KB; 5052.8125 ms
[Test 1] 6443.0 KB; 5053.5937 ms
[Test 1] 6444.0 KB; 5054.3750 ms
[Test 1] 6445.0 KB; 5055.1562 ms
[Test 1] 6446.0 KB; 5055.9375 ms
[Test 1] 6447.0 KB; 5056.7188 ms
[Test 1] 6448.0 KB; 5057.5000 ms
[Test 1] 6449.0 KB; 5058.2812 ms
[Test 1] 6450.0 KB; 5059.0625 ms
[Test 1] 6451.0 KB; 5059.8438 ms
[Test 1] 6452.0 KB; 5060.6250 ms
[Test 1] 6453.0 KB; 5061.4062 ms
[Test 1] 6454.0 KB; 5062.1875 ms
[Test 1] 6455.0 KB; 5062.9688 ms
[Test 1] 6456.0 KB; 5063.7500 ms
[Test 1] 6457.0 KB; 5064.5312 ms
[Test 1] 6458.0 KB; 5065.3125 ms
[Test 1] 6459.0 KB; 5066.0937 ms
[Test 1] 6460.0 KB; 5066.8750 ms
[Test 1] 6461.0 KB; 5067.6562 ms
[Test 1] 6462.0 KB; 5068.4375 ms
[Test 1] 6463.0 KB; 5069.2187 ms
[Test 1] 6464.0 KB; 5070.0000 ms
[Test 1] 6465.0 KB; 5070.7812 ms
[Test 1] 6466.0 KB; 5071.5625 ms
[Test 1] 6467.0 KB; 5072.3438 ms
[Test 1] 6468.0 KB; 5073.1250 ms
[Test 1] 6469.0 KB; 5073.9062 ms
[Test 1] 6470.0 KB; 5074.6875 ms
[Test 1] 6471.0 KB; 5075.4688 ms
[Test 1] 6472.0 KB; 5076.2500 ms
[Test 1] 6473.0 KB; 5077.0312 ms
[Test 1] 6474.0 KB; 5077.8125 ms
[Test 1] 6475.0 KB; 5078.5938 ms
[Test 1] 6476.0 KB; 5079.3750 ms
[Test 1] 6477.0 KB; 5080.1562 ms
[Test 1] 6478.0 KB; 5080.9375 ms
[Test 1] 6479.0 KB; 5081.7187 ms
[Test 1] 6480.0 KB; 5082.5000 ms
[Test 1] 6481.0 KB; 5083.2812 ms
[Test 1] 6482.0 KB; 5084.0625 ms
[Test 1] 6483.0 KB; 5084.8437 ms
[Test 1] 6484.0 KB; 5085.6250 ms
[Test 1] 6485.0 KB; 5086.4062 ms
[Test 1] 6486.0 KB; 5087.1875 ms
[Test 1] 6487.0 KB; 5087.9688 ms
[Test 1] 6488.0 KB; 5088.7500 ms
[Test 1] 6489.0 KB; 5089.5312 ms
[Test 1] 6490.0 KB; 5090.3125 ms
[Test 1] 6491.0 KB; 5091.0938 ms
[Test 1] 6492.0 KB; 5091.8750 ms
[Test 1] 6493.0 KB; 5092.6562 ms
[Test 1] 6494.0 KB; 5093.4375 ms
[Test 1] 6495.0 KB; 5094.2188 ms
[Test 1] 6496.0 KB; 5095.0000 ms
[Test 1] 6497.0 KB; 5095.7812 ms
[Test 1] 6498.0 KB; 5096.5625 ms
[Test 1] 6499.0 KB; 5097.3437 ms
[Test 1] 6500.0 KB; 5098.1250 ms
[Test 1] 6501.0 KB; 5098.9062 ms
[Test 1] 6502.0 KB; 5099.6875 ms
[Test 1] 6503.0 KB; 5100.4687 ms
[Test 1] 6504.0 KB; 5101.2500 ms
[Test 1] 6505.0 KB; 5102.0312 ms
[Test 1] 6506.0 KB; 5102.8125 ms
[Test 1] 6507.0 KB; 5103.5938 ms
[Test 1] 6508.0 KB; 5104.3750 ms
[Test 1] 6509.0 KB; 5105.1562 ms
[Test 1] 6510.0 KB; 5105.9375 ms
[Test 1] 6511.0 KB; 5106.7188 ms
[Test 1] 6512.0 KB; 5107.5000 ms
[Test 1] 6513.0 KB; 5108.2812 ms
[Test 1] 6514.0 KB; 5109.0625 ms
[Test 1] 6515.0 KB; 5109.8438 ms
[Test 1] 6516.0 KB; 5110.6250 ms
[Test 1] 6517.0 KB; 5111.4062 ms
[Test 1] 6518.0 KB; 5112.1875 ms
[Test 1] 6519.0 KB; 5112.9687 ms
[Test 1] 6520.0 KB; 5113.7500 ms
[Test 1] 6521.0 KB; 5114.5312 ms
[Test 1] 6522.0 KB; 5115.3125 ms
[Test 1] 6523.0 KB; 5116.0937 ms
[Test 1] 6524.0 KB; 5116.8750 ms
[Test 1] 6525.0 KB; 5117.6562 ms
[Test 1] 6526.0 KB; 5118.4375 ms
[Test 1] 6527.0 KB; 5119.2188 ms
[Test 1] 6528.0 KB; 5120.0000 ms
[Test 1] 6529.0 KB; 5120.7812 ms
[Test 1] 6530.0 KB; 5121.5625 ms
[Test 1] 6531.0 KB; 5122.3438 ms
[Test 1] 6532.0 KB; 5123.1250 ms
[Test 1] 6533.0 KB; 5123.9062 ms
[Test 1] 6534.0 KB; 5124.6875 ms
[Test 1] 6535.0 KB; 5125.4688 ms
[Test 1] 6536.0 KB; 5126.2500 ms
